Ticker,ETF Name,Inception Date
SPY,SPDR S&P 500 ETF Trust,Jan-93
QQQ,Invesco QQQ Trust Series 1 ,Mar-99
IWM,iShares Russell 2000 ETF ,May-00
RSP,Invesco S&P 500 Equal Weight ETF ,Apr-03
SOXX,iShares Semiconductor ETF ,Jul-01
IGV,iShares Expanded Tech-Software Sector ETF ,Jul-01
XLC,Communication Services Select Sector SPDR Fund ,Jun-18
XLY,Consumer Discretionary Select Sector SPDR ,Dec-98
XLP,Consumer Staples Select Sector SPDR ,Dec-98
XLE,The Energy Select Sector SPDR Fund ,Dec-98
XLF,Financial Select Sector SPDR ,Dec-98
XLV,Health Care Select Sector SPDR ,Dec-98
XLI,Industrial Select Sector SPDR ,Dec-98
XLB,Materials Select Sector SPDR ,Dec-98
XLRE,Real Estate Select Sector SPDR Fund ,Oct-15
XLK,Technology Select Sector SPDR ETF ,Dec-98
XLU,Utilities Select Sector SPDR ETF ,Dec-98
GLD,SPDR Gold Shares ETF ,11/1/2004
SLV,iShares Silver Trust ,1-Apr-06
CPER,United States Copper Index Fund ,15-Nov-11
USO,United States Oil Fund ,10-Apr-06
